Namespace(batch_size=256, epoch=60, evaluate=False, log_model_dir='./log', lr=0.01, lr_milestone=[15, 40], num_workers=2, root='./', show_interval=10, snapshot_interval=5, test_interval=2)
[epoch:6, batch:149]	 [loss: 0.052]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:6, batch:159]	 [loss: 0.046]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:6, batch:169]	 [loss: 0.007]	 [accuracy: 1.000]	 [lr: 0.010000]
[epoch:6, batch:179]	 [loss: 0.039]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:6, batch:189]	 [loss: 0.034]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:6, batch:199]	 [loss: 0.045]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:6, batch:209]	 [loss: 0.005]	 [accuracy: 1.000]	 [lr: 0.010000]
[epoch:6, batch:219]	 [loss: 0.056]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:6, batch:229]	 [loss: 0.043]	 [accuracy: 0.988]	 [lr: 0.010000]

***************validation result*******************
loss_avg: 0.041	 accuracy_avg: 0.988
****************************************************

[epoch:7, batch:4]	 [loss: 0.014]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:7, batch:14]	 [loss: 0.016]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:7, batch:24]	 [loss: 0.020]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:7, batch:34]	 [loss: 0.037]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:7, batch:44]	 [loss: 0.034]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:7, batch:54]	 [loss: 0.039]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:7, batch:64]	 [loss: 0.011]	 [accuracy: 1.000]	 [lr: 0.010000]
[epoch:7, batch:74]	 [loss: 0.030]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:7, batch:84]	 [loss: 0.024]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:7, batch:94]	 [loss: 0.025]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:7, batch:104]	 [loss: 0.018]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:7, batch:114]	 [loss: 0.009]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:7, batch:124]	 [loss: 0.061]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:7, batch:134]	 [loss: 0.037]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:7, batch:144]	 [loss: 0.086]	 [accuracy: 0.977]	 [lr: 0.010000]
[epoch:7, batch:154]	 [loss: 0.043]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:7, batch:164]	 [loss: 0.022]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:7, batch:174]	 [loss: 0.053]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:7, batch:184]	 [loss: 0.026]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:7, batch:194]	 [loss: 0.029]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:7, batch:204]	 [loss: 0.043]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:7, batch:214]	 [loss: 0.023]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:7, batch:224]	 [loss: 0.016]	 [accuracy: 1.000]	 [lr: 0.010000]
[epoch:7, batch:234]	 [loss: 0.038]	 [accuracy: 0.979]	 [lr: 0.010000]
[epoch:8, batch:9]	 [loss: 0.033]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:8, batch:19]	 [loss: 0.045]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:8, batch:29]	 [loss: 0.013]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:8, batch:39]	 [loss: 0.006]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:8, batch:49]	 [loss: 0.041]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:8, batch:59]	 [loss: 0.022]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:8, batch:69]	 [loss: 0.015]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:8, batch:79]	 [loss: 0.034]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:8, batch:89]	 [loss: 0.025]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:8, batch:99]	 [loss: 0.035]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:8, batch:109]	 [loss: 0.028]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:8, batch:119]	 [loss: 0.022]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:8, batch:129]	 [loss: 0.030]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:8, batch:139]	 [loss: 0.021]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:8, batch:149]	 [loss: 0.029]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:8, batch:159]	 [loss: 0.040]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:8, batch:169]	 [loss: 0.030]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:8, batch:179]	 [loss: 0.050]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:8, batch:189]	 [loss: 0.007]	 [accuracy: 1.000]	 [lr: 0.010000]
[epoch:8, batch:199]	 [loss: 0.023]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:8, batch:209]	 [loss: 0.032]	 [accuracy: 0.977]	 [lr: 0.010000]
[epoch:8, batch:219]	 [loss: 0.060]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:8, batch:229]	 [loss: 0.017]	 [accuracy: 0.996]	 [lr: 0.010000]

***************validation result*******************
loss_avg: 0.046	 accuracy_avg: 0.987
****************************************************

[epoch:9, batch:4]	 [loss: 0.027]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:9, batch:14]	 [loss: 0.023]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:9, batch:24]	 [loss: 0.019]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:9, batch:34]	 [loss: 0.012]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:9, batch:44]	 [loss: 0.020]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:9, batch:54]	 [loss: 0.063]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:9, batch:64]	 [loss: 0.031]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:9, batch:74]	 [loss: 0.026]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:9, batch:84]	 [loss: 0.035]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:9, batch:94]	 [loss: 0.043]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:9, batch:104]	 [loss: 0.046]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:9, batch:114]	 [loss: 0.010]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:9, batch:124]	 [loss: 0.064]	 [accuracy: 0.977]	 [lr: 0.010000]
[epoch:9, batch:134]	 [loss: 0.040]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:9, batch:144]	 [loss: 0.052]	 [accuracy: 0.980]	 [lr: 0.010000]
[epoch:9, batch:154]	 [loss: 0.050]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:9, batch:164]	 [loss: 0.038]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:9, batch:174]	 [loss: 0.045]	 [accuracy: 0.984]	 [lr: 0.010000]
